INSERT INTO purchases (purchase_date, price, supplier_id, emp_id) VALUES
('2024-07-13', 1494350, 8, 30),
('2022-12-18', 6295669, 6, 15),
('2025-10-18', 8717767, 16, 6),
('2025-05-27', 8584456, 11, 12),
('2022-07-07', 6297443, 9, 25),
('2022-10-17', 8773486, 16, 27),
('2025-11-04', 1625352, 20, 8),
('2022-01-21', 744714, 10, 14),
('2025-01-31', 4823659, 8, 29),
('2024-12-25', 9650476, 12, 17),
('2024-04-16', 5071447, 10, 15),
('2025-10-25', 6538407, 14, 19),
('2024-05-02', 4743126, 20, 19),
('2025-11-08', 6666535, 16, 16),
('2022-07-20', 3368405, 10, 23),
('2022-12-14', 3481445, 14, 24),
('2022-07-15', 8136590, 7, 30),
('2025-07-03', 8094485, 3, 25),
('2024-10-14', 3196064, 8, 7),
('2024-10-12', 2006532, 8, 4),
('2023-10-27', 5148079, 12, 17),
('2024-07-22', 6140139, 20, 1),
('2022-12-24', 3381409, 14, 7),
('2024-12-10', 5354114, 1, 23),
('2022-09-24', 2816156, 18, 25),
('2022-03-23', 5731411, 3, 1),
('2024-12-01', 9250088, 20, 7),
('2023-03-11', 7439166, 10, 17),
('2022-03-16', 8540039, 8, 27),
('2024-10-25', 8542338, 5, 8),
('2025-02-12', 6375074, 2, 13),
('2023-09-07', 4844520, 4, 27),
('2024-09-28', 6867853, 5, 11),
('2024-12-10', 5840525, 12, 10),
('2025-03-13', 2794852, 11, 29),
('2024-10-25', 6761758, 5, 27),
('2024-04-10', 2069826, 4, 15),
('2024-05-13', 7706290, 6, 8),
('2023-09-26', 4951159, 6, 1),
('2022-04-24', 3340515, 1, 27),
('2023-02-09', 8735953, 4, 24),
('2022-10-10', 9229589, 16, 2),
('2023-11-26', 2332514, 11, 4),
('2022-11-19', 8087039, 9, 11),
('2024-07-30', 6956670, 9, 25),
('2024-09-18', 3613637, 18, 20),
('2024-09-21', 4733079, 16, 18),
('2024-10-17', 9681232, 1, 22),
('2024-06-14', 7108091, 9, 25),
('2022-06-09', 9193635, 2, 19),
('2022-03-21', 6492811, 8, 24),
('2024-09-04', 651016, 4, 22),
('2023-07-02', 7028257, 5, 16),
('2023-07-28', 5119432, 18, 25),
('2024-10-31', 4893816, 1, 28),
('2023-06-19', 6052427, 12, 12),
('2025-05-08', 2097506, 11, 1),
('2022-08-10', 8667491, 16, 24),
('2022-03-08', 4234272, 17, 17),
('2025-01-14', 6908756, 16, 9),
('2024-08-19', 9731641, 19, 5),
('2023-10-16', 2073110, 19, 28),
('2023-12-28', 4735242, 4, 30),
('2022-01-22', 4410629, 2, 21),
('2023-06-09', 5889523, 5, 24),
('2025-06-04', 5715291, 17, 4),
('2022-06-05', 3633699, 5, 25),
('2025-06-30', 7903818, 7, 23),
('2022-03-01', 4744268, 1, 19),
('2024-09-26', 5612509, 18, 14),
('2024-07-04', 6569970, 14, 3),
('2022-02-06', 5180588, 12, 5),
('2023-01-07', 4001823, 13, 13),
('2024-05-30', 7042366, 10, 26),
('2022-06-13', 7067658, 14, 10),
('2025-02-14', 5060060, 11, 1),
('2025-04-18', 776249, 8, 22),
('2025-04-30', 2553180, 20, 27),
('2022-05-04', 4262983, 2, 30),
('2024-01-12', 1798366, 14, 6),
('2023-09-21', 4869591, 9, 22),
('2025-02-12', 1765167, 3, 5),
('2024-08-08', 6254568, 2, 21),
('2025-11-28', 7851597, 3, 14),
('2024-03-28', 5372095, 10, 18),
('2023-07-25', 6159114, 9, 13),
('2024-05-29', 9471679, 13, 18),
('2025-11-11', 7320765, 13, 28),
('2022-02-25', 8361348, 18, 3),
('2025-12-17', 602444, 20, 19),
('2024-01-28', 5070548, 3, 16),
('2025-12-28', 6829470, 11, 26),
('2023-12-28', 3863646, 6, 16),
('2024-05-21', 9979705, 10, 1),
('2022-12-20', 8245413, 10, 17),
('2025-10-18', 6568253, 15, 12),
('2023-05-13', 5026454, 5, 26),
('2022-02-18', 9944124, 7, 3),
('2022-01-22', 8892805, 9, 6),
('2024-12-13', 3750551, 8, 9),
('2024-12-11', 8485407, 16, 16),
('2022-01-26', 9408390, 8, 8),
('2025-07-04', 4413466, 11, 1),
('2022-10-31', 7161507, 14, 25),
('2023-08-18', 7419205, 13, 10),
('2024-10-28', 1776209, 14, 23),
('2022-03-04', 3750131, 18, 17),
('2022-11-14', 9287743, 4, 21),
('2023-02-23', 4984125, 14, 28),
('2022-12-31', 7951088, 19, 3),
('2024-06-05', 3821328, 9, 28),
('2024-09-06', 4977496, 3, 4),
('2022-07-02', 657408, 6, 1),
('2025-02-20', 3793970, 1, 20),
('2025-06-27', 4325127, 8, 12),
('2025-10-28', 6876786, 17, 24),
('2023-04-30', 2716456, 18, 22),
('2025-11-20', 3372454, 2, 18),
('2024-05-02', 7213790, 3, 21),
('2022-07-21', 9206620, 3, 18),
('2024-04-14', 8245978, 5, 28),
('2024-03-29', 2798778, 17, 11),
('2022-06-28', 8097410, 11, 22),
('2024-12-09', 5240673, 12, 27),
('2023-11-01', 4336294, 14, 26),
('2024-01-05', 9623689, 9, 6),
('2024-05-20', 1159144, 12, 27),
('2025-03-16', 8165277, 20, 23),
('2025-02-03', 3129181, 13, 3),
('2024-09-24', 3943756, 17, 13),
('2025-11-21', 2124151, 20, 25),
('2022-03-04', 9794159, 6, 13),
('2024-04-19', 2638234, 20, 6),
('2022-03-18', 9384055, 14, 30),
('2022-03-10', 6777414, 6, 21),
('2023-11-13', 1985755, 5, 6),
('2023-06-02', 2571671, 7, 27),
('2025-02-23', 7752409, 11, 6),
('2022-08-30', 2159168, 6, 15),
('2024-12-01', 2774788, 16, 4),
('2022-04-14', 2394083, 1, 9),
('2024-05-21', 3358491, 20, 15),
('2025-09-30', 1636242, 9, 26),
('2025-03-23', 7380485, 9, 19),
('2022-04-04', 6840141, 15, 19),
('2023-01-03', 8147170, 16, 5),
('2024-08-24', 2529336, 1, 11),
('2025-03-01', 1957209, 11, 20),
('2024-05-25', 1128961, 4, 14),
('2024-08-31', 4596382, 1, 14),
('2022-01-13', 9962124, 6, 16),
('2025-12-10', 9287018, 5, 18),
('2024-09-19', 5856906, 14, 30),
('2023-07-31', 7526227, 8, 18),
('2023-07-15', 5695946, 1, 30),
('2024-06-16', 3456242, 10, 4),
('2022-05-24', 8796100, 20, 2),
('2023-08-02', 3353583, 14, 24),
('2023-05-13', 2765383, 19, 13),
('2024-04-10', 6139715, 6, 8),
('2022-04-10', 7267773, 9, 13),
('2024-08-12', 7078396, 1, 28),
('2025-09-14', 9236832, 16, 11),
('2025-07-21', 4314555, 20, 14),
('2022-04-03', 1217571, 16, 24),
('2023-02-12', 9967383, 12, 28),
('2025-09-16', 6410700, 3, 14),
('2022-06-01', 1657109, 4, 27),
('2022-08-19', 590071, 6, 23),
('2022-09-26', 8579906, 12, 25),
('2022-08-22', 9516379, 10, 11),
('2025-05-12', 4662626, 16, 11),
('2023-04-10', 4438162, 3, 26),
('2023-03-25', 7604560, 6, 13),
('2025-01-03', 1713828, 18, 17),
('2025-12-26', 6128895, 1, 21),
('2025-05-26', 8250326, 6, 19),
('2022-12-07', 1385823, 3, 15),
('2025-12-27', 4778193, 17, 6),
('2025-07-01', 940199, 14, 11),
('2023-11-09', 7032941, 14, 3),
('2025-05-22', 5757308, 5, 16),
('2022-04-04', 3844248, 5, 8),
('2025-08-05', 8536692, 15, 13),
('2025-06-14', 2992379, 6, 26),
('2024-12-24', 7818697, 2, 24),
('2024-04-22', 8421057, 2, 19),
('2024-01-07', 4818120, 8, 26),
('2023-11-11', 3152592, 6, 7),
('2025-09-01', 3172200, 3, 5),
('2023-01-16', 4537020, 11, 10),
('2023-05-26', 8835625, 10, 4),
('2025-08-08', 8959069, 3, 18),
('2023-11-03', 1632182, 5, 20),
('2024-09-06', 9451913, 13, 7),
('2023-10-02', 9072697, 8, 25),
('2024-11-16', 8337058, 1, 17),
('2024-04-01', 4453787, 11, 22),
('2023-06-19', 4926550, 1, 4),
('2025-05-11', 3598396, 7, 6),
('2024-07-18', 9281540, 5, 13),
('2023-01-23', 3144728, 20, 2),
('2025-06-04', 2693591, 18, 27),
('2025-10-14', 7067995, 10, 19),
('2025-02-24', 3531840, 9, 4),
('2025-07-04', 8777860, 13, 14),
('2023-05-02', 1278353, 2, 13),
('2025-05-05', 7617130, 12, 20),
('2024-10-25', 8908168, 17, 22),
('2024-07-13', 9998289, 10, 27),
('2025-04-30', 7513541, 12, 3),
('2024-11-29', 1641178, 8, 30),
('2023-01-03', 4800495, 2, 2),
('2025-01-26', 9368024, 19, 22),
('2022-08-21', 8070247, 9, 20),
('2025-08-15', 9826964, 8, 1),
('2024-06-07', 2289477, 2, 30),
('2024-12-17', 4224390, 16, 2),
('2022-12-07', 9490658, 10, 13),
('2023-07-11', 6876295, 11, 3),
('2024-01-04', 3155382, 9, 19),
('2022-06-06', 9517240, 15, 8),
('2023-10-16', 9727372, 20, 24),
('2022-07-16', 4023568, 12, 14),
('2025-08-21', 3581192, 13, 1),
('2025-02-24', 1876334, 14, 17),
('2023-02-15', 884847, 17, 5),
('2022-12-05', 5519761, 13, 18),
('2024-01-13', 1300407, 10, 16),
('2022-08-07', 1897420, 9, 21),
('2023-06-08', 6531720, 12, 9),
('2022-02-07', 5471403, 4, 6),
('2022-10-11', 2447935, 12, 24),
('2022-12-23', 9913018, 19, 11),
('2025-10-13', 1093216, 11, 13),
('2025-12-27', 8008199, 2, 11),
('2024-01-26', 5482205, 17, 2),
('2023-03-18', 6658836, 8, 19),
('2024-11-09', 9974639, 9, 14),
('2022-08-27', 9092435, 3, 30),
('2022-12-31', 4932157, 19, 16),
('2022-03-07', 873823, 9, 24),
('2022-12-16', 3770104, 12, 16),
('2023-06-28', 9714410, 14, 19),
('2023-01-23', 3481525, 5, 29),
('2023-01-19', 6056911, 12, 21),
('2024-01-10', 3825024, 6, 7),
('2023-04-13', 4923160, 3, 7),
('2025-11-20', 8813182, 19, 18),
('2022-11-02', 5911469, 20, 19),
('2024-09-25', 3552848, 19, 13),
('2025-01-09', 650348, 14, 28),
('2024-07-27', 5030012, 3, 29),
('2022-05-25', 8940600, 10, 26),
('2022-08-15', 2047967, 16, 8),
('2023-08-18', 4759874, 7, 18),
('2024-09-01', 6328635, 10, 4),
('2022-11-19', 7048125, 13, 9),
('2023-03-13', 5029238, 15, 17),
('2025-01-08', 8314527, 14, 21),
('2023-11-18', 5988553, 7, 23),
('2022-06-09', 8399996, 9, 9),
('2022-07-23', 2906952, 7, 21),
('2022-07-24', 9452964, 7, 19),
('2024-01-19', 2160407, 6, 18),
('2025-09-12', 7366214, 7, 2),
('2025-10-24', 4333047, 19, 14),
('2025-02-16', 1031974, 3, 2),
('2023-07-27', 6243762, 17, 12),
('2025-02-14', 6555048, 2, 20),
('2023-05-23', 793919, 8, 2),
('2025-08-13', 4522550, 4, 4),
('2023-11-28', 7606571, 15, 23),
('2023-01-21', 2144444, 9, 28),
('2024-01-13', 9381083, 14, 20),
('2024-02-13', 3428546, 7, 7),
('2022-06-20', 8115944, 2, 28),
('2025-05-08', 9592463, 19, 21),
('2022-01-20', 8012344, 14, 23),
('2024-04-16', 2366512, 10, 15),
('2024-02-13', 2324360, 20, 25),
('2025-02-26', 4012154, 3, 10),
('2023-07-25', 6298005, 11, 25),
('2024-04-04', 8177099, 6, 7),
('2025-08-21', 1744154, 8, 18),
('2024-09-02', 8099855, 13, 7),
('2025-09-20', 8351026, 9, 8),
('2023-06-01', 1281234, 13, 16),
('2025-04-25', 6294624, 7, 11),
('2022-01-20', 8473349, 18, 18),
('2024-10-05', 4077166, 9, 18),
('2022-09-28', 8125276, 4, 1),
('2025-02-19', 5622748, 8, 2),
('2024-12-15', 4784837, 18, 16),
('2023-01-22', 2863679, 4, 23),
('2023-12-27', 5912888, 4, 21),
('2022-07-05', 1620933, 20, 19),
('2022-09-03', 9402001, 11, 25),
('2025-08-17', 6280106, 18, 30),
('2024-12-23', 6154386, 16, 26),
('2025-04-02', 7481591, 18, 9),
('2025-08-11', 3023173, 7, 16),
('2023-01-06', 5780754, 11, 13),
('2025-01-17', 1220397, 10, 5),
('2023-11-08', 8705404, 3, 12),
('2024-09-23', 4385244, 3, 16),
('2024-09-19', 4833708, 20, 8),
('2022-01-31', 8280325, 9, 27),
('2022-12-24', 9771943, 13, 13),
('2025-01-13', 5331490, 13, 13),
('2025-12-25', 6957565, 8, 26),
('2024-06-11', 6835372, 19, 12),
('2025-07-06', 3917513, 13, 18),
('2022-04-23', 1521742, 11, 12),
('2025-12-02', 764487, 7, 22),
('2023-03-12', 7356722, 11, 28),
('2022-08-12', 7567344, 3, 27),
('2025-05-25', 8010049, 17, 2),
('2025-09-06', 4485181, 15, 28),
('2024-11-11', 7201901, 13, 6),
('2024-12-08', 5545465, 5, 21),
('2025-06-22', 6919568, 4, 23),
('2024-01-14', 955210, 6, 21),
('2023-07-15', 3841557, 14, 22),
('2025-01-26', 1193251, 7, 7),
('2023-08-19', 4914290, 5, 21),
('2024-11-11', 6421586, 12, 15),
('2023-03-05', 9926819, 12, 20),
('2022-09-10', 5261229, 7, 28),
('2025-07-05', 2554539, 14, 8),
('2023-11-14', 8003997, 15, 16),
('2025-07-14', 5289252, 5, 18),
('2025-09-18', 3863371, 16, 21),
('2025-04-21', 6916779, 1, 29),
('2022-07-18', 7151641, 19, 6),
('2025-03-16', 7808547, 1, 20),
('2022-09-02', 4157194, 16, 17),
('2025-10-08', 3788314, 10, 21),
('2023-06-25', 5760245, 11, 9),
('2022-09-19', 4422051, 4, 17),
('2023-04-29', 6907530, 8, 13),
('2025-05-05', 4511922, 1, 11),
('2022-04-06', 6153980, 9, 1),
('2022-03-29', 8757807, 1, 1),
('2024-05-28', 873767, 5, 25),
('2023-02-08', 1350108, 2, 13),
('2023-12-08', 9858913, 12, 15),
('2023-02-27', 1899145, 10, 18),
('2022-03-07', 9568919, 9, 25),
('2024-05-02', 2170275, 7, 17),
('2024-07-27', 5636616, 15, 2),
('2023-09-16', 5711575, 2, 20),
('2025-06-03', 5771229, 2, 12),
('2024-10-30', 2071683, 20, 1),
('2023-12-29', 4810768, 11, 25),
('2024-08-01', 1999745, 14, 1),
('2022-01-24', 8451766, 3, 26),
('2024-09-06', 1304767, 3, 30),
('2023-11-16', 6538060, 5, 16),
('2022-10-12', 3447413, 12, 21),
('2024-10-25', 529520, 7, 11),
('2025-01-12', 6203113, 14, 6),
('2025-05-23', 5507256, 3, 19),
('2025-07-15', 5432890, 12, 13),
('2022-10-22', 2472252, 8, 4),
('2024-09-21', 9378144, 14, 6),
('2023-12-14', 3703339, 7, 19),
('2025-02-06', 7299806, 16, 25),
('2023-08-01', 3059187, 8, 24),
('2025-08-24', 5512956, 16, 4),
('2022-02-18', 8927335, 2, 1),
('2025-11-21', 8547855, 8, 1),
('2022-04-19', 5398327, 20, 16),
('2024-09-22', 873661, 10, 13),
('2023-02-27', 9495155, 1, 4),
('2022-06-25', 7624533, 6, 25),
('2025-09-03', 9212674, 9, 26),
('2024-07-03', 6286010, 15, 7),
('2023-10-25', 6861557, 19, 3),
('2025-06-12', 7516134, 3, 14),
('2025-09-20', 4579077, 15, 7),
('2023-12-14', 1669916, 20, 9),
('2023-08-20', 5886674, 4, 17),
('2023-10-18', 7509874, 9, 14),
('2025-12-31', 9560451, 16, 19),
('2024-06-28', 7612851, 12, 27),
('2024-12-03', 7631565, 2, 25),
('2025-07-21', 4264479, 2, 23),
('2023-04-16', 4906878, 2, 20),
('2024-05-19', 9437695, 14, 3),
('2024-04-06', 2782419, 10, 1),
('2023-01-19', 575167, 6, 19),
('2022-04-16', 9376181, 9, 9),
('2022-10-13', 3991546, 1, 15),
('2023-05-14', 4055037, 20, 28),
('2025-10-28', 8870283, 14, 2),
('2025-10-31', 2938599, 14, 7),
('2023-10-12', 7462069, 13, 14),
('2025-05-09', 5115041, 2, 22),
('2024-07-20', 2806990, 1, 5),
('2023-06-24', 7244145, 5, 23),
('2022-10-07', 5222315, 2, 21),
('2023-10-07', 8030021, 5, 19),
('2022-12-30', 5036592, 10, 10),
('2025-08-25', 9561373, 9, 3),
('2025-11-14', 7316584, 6, 27),
('2024-05-01', 849857, 11, 23),
('2024-10-19', 2111064, 2, 30),
('2025-07-07', 6266365, 12, 3),
('2022-12-13', 5270329, 6, 2),
('2023-06-30', 1933885, 7, 23),
('2022-03-24', 2632699, 14, 1),
('2024-03-08', 1822875, 2, 3),
('2023-11-11', 6060813, 4, 2),
('2023-12-22', 1739021, 18, 18),
('2025-02-08', 2222566, 17, 3),
('2023-07-13', 1186007, 12, 25),
('2025-05-10', 6577539, 13, 20),
('2024-10-21', 9870503, 17, 7),
('2025-03-31', 8211536, 15, 19),
('2022-07-10', 9847448, 15, 28),
('2023-02-09', 2937228, 5, 1),
('2022-05-29', 2404878, 19, 6),
('2024-11-23', 6015554, 16, 10),
('2023-07-30', 6019324, 20, 29),
('2024-05-30', 2879651, 5, 20),
('2025-07-08', 7903441, 10, 17),
('2022-03-29', 5408758, 17, 14),
('2023-09-27', 6127337, 12, 30),
('2023-07-18', 3204491, 2, 1),
('2022-06-06', 6641287, 17, 17),
('2024-06-12', 3899987, 8, 18),
('2025-04-24', 7436502, 10, 11),
('2024-12-28', 5650889, 12, 1),
('2024-06-27', 7057861, 17, 28),
('2022-12-05', 6724834, 18, 3),
('2025-04-07', 551703, 4, 5),
('2023-04-02', 5205044, 4, 14),
('2025-02-10', 6157209, 10, 26),
('2025-01-01', 1455334, 18, 4),
('2022-02-02', 1168955, 15, 7),
('2022-09-17', 4963773, 2, 30),
('2022-01-23', 1564291, 1, 15),
('2022-06-12', 4217197, 16, 20),
('2022-11-21', 8847125, 6, 19),
('2022-11-16', 2579385, 14, 7),
('2025-06-19', 5627184, 11, 13),
('2024-03-17', 7170400, 19, 15),
('2025-11-25', 4501334, 10, 5),
('2024-03-06', 6642290, 14, 14),
('2022-03-07', 7882789, 4, 24),
('2025-06-09', 7724278, 19, 29),
('2023-12-08', 3595485, 13, 20),
('2025-11-18', 2998942, 16, 14),
('2025-08-30', 9785970, 8, 15),
('2024-07-27', 6907142, 19, 17),
('2022-04-08', 1163888, 5, 14),
('2023-05-14', 2092170, 12, 23),
('2023-03-18', 1543794, 13, 27),
('2022-07-26', 6706928, 10, 18),
('2024-06-13', 7093962, 9, 2),
('2024-12-09', 6497680, 5, 29),
('2022-06-03', 8893901, 18, 24),
('2024-03-01', 4471391, 8, 28),
('2023-05-25', 7822365, 19, 12),
('2023-09-06', 2757901, 8, 1),
('2025-10-05', 7888599, 4, 21),
('2025-09-11', 9159015, 15, 26),
('2022-10-08', 7375347, 7, 30),
('2022-06-05', 5087543, 6, 4),
('2022-03-23', 9510122, 2, 15),
('2025-08-25', 6331599, 13, 13),
('2022-02-22', 2140859, 18, 4),
('2023-04-23', 1500790, 16, 17),
('2023-10-13', 6885037, 16, 19),
('2023-10-25', 4749164, 15, 21),
('2025-03-03', 5202326, 10, 27),
('2024-05-24', 4959634, 5, 20),
('2024-10-09', 9119470, 14, 24),
('2024-05-20', 8756653, 1, 4),
('2023-08-06', 9757342, 7, 17),
('2025-10-14', 9619566, 7, 24),
('2022-04-30', 2730697, 16, 4),
('2025-03-13', 7769272, 20, 4),
('2023-04-09', 3949903, 1, 21),
('2022-07-06', 7601318, 3, 3),
('2024-10-30', 4406041, 18, 8),
('2022-11-07', 6192559, 12, 7),
('2022-11-09', 8222479, 17, 21),
('2024-02-15', 7485722, 6, 5),
('2025-11-10', 3293250, 1, 20),
('2022-09-30', 3976686, 6, 12),
('2025-11-18', 2905437, 10, 19),
('2024-07-23', 1207922, 5, 11),
('2023-09-29', 3739667, 7, 3),
('2025-08-09', 2849743, 8, 23),
('2024-12-30', 7489662, 11, 17),
('2022-04-02', 3942656, 14, 12),
('2024-05-07', 7353008, 12, 9),
('2025-10-26', 3005185, 2, 26),
('2024-04-19', 7283603, 12, 25),
('2023-09-08', 9654900, 12, 1),
('2024-12-03', 4150631, 12, 22),
('2025-10-18', 5740696, 7, 2),
('2024-08-25', 6418689, 13, 10),
('2022-08-23', 7925150, 12, 15),
('2023-05-27', 1731592, 7, 13),
('2023-03-07', 2184204, 18, 29),
('2023-03-06', 2213214, 4, 19),
('2022-04-02', 9706316, 15, 7),
('2025-01-30', 6136283, 3, 30),
('2025-04-21', 3140354, 9, 18),
('2024-11-06', 5760961, 11, 21),
('2024-06-17', 1119179, 11, 4),
('2023-10-18', 6125906, 7, 14),
('2023-09-27', 9490274, 1, 9),
('2022-06-14', 2182925, 13, 27),
('2022-09-10', 1587652, 19, 17),
('2025-06-03', 7075522, 4, 15),
('2023-05-17', 6662263, 8, 29),
('2023-06-25', 4273882, 2, 11),
('2023-01-03', 4043303, 15, 15),
('2024-10-07', 8160488, 10, 6),
('2022-08-07', 3225754, 7, 30),
('2024-02-07', 2142018, 5, 13),
('2025-10-17', 1848903, 18, 17),
('2023-04-26', 5065697, 19, 22),
('2023-02-18', 8494340, 1, 4),
('2022-02-27', 9327934, 9, 15),
('2024-05-19', 6994871, 5, 30),
('2024-05-08', 5625801, 11, 13),
('2024-09-21', 2803347, 16, 14),
('2023-02-22', 3130421, 18, 11),
('2024-06-11', 7584787, 19, 17),
('2022-09-06', 906415, 16, 30),
('2022-10-06', 2355849, 10, 24),
('2022-09-16', 1197276, 6, 5),
('2025-02-04', 6895677, 5, 19),
('2024-10-02', 2317020, 3, 5),
('2022-08-26', 2366532, 19, 27),
('2025-04-12', 3709596, 1, 27),
('2022-01-17', 4295203, 6, 6),
('2024-11-20', 4740218, 17, 14),
('2022-01-02', 8861311, 10, 8),
('2024-05-29', 4804897, 2, 8),
('2023-07-12', 3451665, 4, 22),
('2024-06-29', 5166200, 5, 15),
('2023-11-13', 7504071, 20, 25),
('2023-08-22', 7061035, 6, 9),
('2025-02-08', 7289638, 14, 11),
('2022-05-03', 2697660, 3, 4),
('2024-03-23', 3531280, 3, 19),
('2023-08-26', 9396772, 16, 3),
('2023-11-11', 5762089, 20, 29),
('2022-01-28', 8278447, 18, 9),
('2022-03-06', 2301032, 8, 9),
('2025-10-13', 9309611, 16, 28),
('2023-04-20', 3500924, 19, 22),
('2022-02-15', 2452889, 4, 27),
('2024-03-25', 3302407, 17, 22),
('2022-09-05', 1499973, 18, 4),
('2025-12-07', 8210243, 17, 6),
('2022-08-28', 8650932, 7, 19),
('2025-12-01', 1984485, 20, 11),
('2023-10-15', 4233663, 4, 26),
('2025-03-11', 8686085, 18, 2),
('2023-05-02', 2441582, 3, 6),
('2022-06-19', 9332444, 18, 30),
('2025-04-27', 4745333, 2, 16),
('2024-04-26', 2050435, 3, 29),
('2025-08-07', 7437128, 15, 4),
('2025-11-26', 5525605, 8, 2),
('2024-06-06', 5284582, 14, 2),
('2023-12-16', 8084853, 18, 4),
('2025-12-09', 4652739, 15, 3),
('2024-04-05', 4114301, 2, 5),
('2023-03-19', 2737681, 20, 8),
('2024-04-11', 5682135, 19, 7),
('2023-02-09', 3004125, 19, 24),
('2025-09-07', 661762, 10, 1),
('2023-01-31', 9951771, 10, 8),
('2023-09-25', 8702219, 8, 12),
('2022-01-11', 1741179, 12, 10),
('2025-06-29', 9648955, 12, 8),
('2025-02-20', 9303622, 20, 8),
('2023-10-24', 1088900, 12, 1),
('2022-05-24', 4405614, 15, 17),
('2022-04-02', 2862760, 7, 14),
('2022-08-24', 6800651, 17, 10),
('2024-11-04', 8359865, 17, 9),
('2022-10-20', 3608756, 5, 2),
('2024-09-29', 4585372, 3, 18),
('2022-11-29', 3004999, 18, 12),
('2023-04-13', 5362919, 5, 17),
('2023-01-15', 9932498, 9, 7),
('2022-11-26', 6536591, 8, 29),
('2025-12-14', 6720375, 13, 17),
('2023-11-30', 5292711, 15, 19),
('2024-09-09', 7343671, 20, 7),
('2025-07-23', 562926, 7, 19),
('2025-01-02', 5186614, 12, 5),
('2025-03-27', 8354237, 11, 10),
('2024-11-23', 5776431, 17, 10),
('2022-02-22', 2307146, 11, 10),
('2023-06-08', 765456, 3, 15),
('2023-10-31', 3148951, 3, 24),
('2024-12-06', 2684910, 9, 18),
('2025-11-11', 3525451, 11, 5),
('2023-09-09', 5957681, 13, 30),
('2023-11-16', 6947967, 19, 1),
('2022-05-30', 4264933, 6, 19),
('2025-12-28', 1869237, 3, 7),
('2024-02-07', 954153, 8, 8),
('2023-10-28', 2294380, 1, 12),
('2022-11-15', 7605606, 18, 24),
('2022-04-09', 7910861, 9, 9),
('2025-09-11', 5262023, 8, 11),
('2023-01-29', 6128132, 12, 18),
('2025-07-11', 754000, 15, 6),
('2023-12-26', 4873255, 7, 16),
('2022-10-16', 7027165, 19, 24),
('2025-11-19', 2102912, 10, 3),
('2022-08-15', 6010516, 18, 6),
('2024-08-31', 3239237, 5, 2),
('2024-11-17', 2208699, 16, 8),
('2025-01-26', 5711360, 15, 5),
('2023-08-17', 3021811, 20, 10),
('2025-01-28', 7589159, 5, 9),
('2023-09-02', 8476205, 8, 14),
('2022-07-16', 3472520, 9, 20),
('2023-02-09', 8940205, 4, 21),
('2023-08-01', 5030049, 13, 28),
('2023-05-18', 9806292, 13, 14),
('2024-01-05', 3767923, 19, 29),
('2025-09-07', 2918745, 13, 9),
('2025-05-28', 9980239, 18, 9),
('2023-10-19', 2429200, 2, 27),
('2025-04-18', 5529445, 18, 13),
('2025-06-12', 4344667, 10, 3),
('2023-08-20', 1073939, 14, 14),
('2022-07-05', 9321679, 15, 23),
('2023-12-22', 5391345, 17, 23),
('2022-12-23', 5772714, 14, 14),
('2025-01-07', 1923814, 2, 7),
('2025-05-25', 3838108, 1, 18),
('2025-11-24', 9345578, 1, 17),
('2024-08-29', 9466292, 5, 16),
('2024-06-28', 1695255, 6, 26),
('2022-11-04', 1581238, 11, 12),
('2025-08-22', 1572284, 6, 14),
('2023-07-14', 9783679, 20, 18),
('2023-08-17', 3372821, 10, 18),
('2024-05-24', 3378070, 16, 23),
('2023-07-16', 6647254, 5, 24),
('2022-12-25', 8491775, 19, 30),
('2025-03-31', 4400126, 18, 22),
('2023-01-13', 9878488, 16, 13),
('2022-10-08', 3951428, 14, 21),
('2024-11-29', 5518298, 18, 14),
('2025-01-18', 7431303, 12, 1),
('2023-05-11', 5875144, 5, 29),
('2022-07-21', 2675317, 2, 13),
('2023-10-09', 8360891, 13, 17),
('2023-06-03', 8450056, 8, 17),
('2023-09-05', 2202357, 16, 9),
('2025-08-16', 2980892, 1, 21),
('2025-01-08', 8348626, 13, 2),
('2022-07-12', 9850322, 13, 14),
('2024-09-24', 6810159, 3, 26),
('2024-07-20', 2765379, 13, 24),
('2023-10-29', 4646404, 13, 25),
('2025-04-19', 2216397, 7, 9),
('2023-01-04', 1267428, 20, 16),
('2024-07-22', 7563515, 7, 24),
('2023-01-23', 3586733, 4, 6),
('2022-05-26', 8960600, 6, 12),
('2023-07-07', 6447293, 8, 24),
('2025-10-04', 7818587, 4, 1),
('2024-01-05', 1940211, 20, 21),
('2023-05-19', 1292092, 5, 28),
('2025-11-13', 8705544, 13, 19),
('2024-06-09', 5279844, 19, 29),
('2025-12-29', 9777472, 8, 16),
('2023-08-15', 3505206, 12, 20),
('2023-11-24', 7592495, 12, 10),
('2022-07-12', 3095556, 19, 23),
('2025-02-05', 7601103, 8, 28),
('2025-10-02', 5120667, 4, 14),
('2023-03-25', 4007837, 5, 21),
('2022-02-03', 9400066, 8, 19),
('2023-11-28', 1266819, 4, 12),
('2022-01-16', 4587060, 3, 28),
('2024-11-22', 3199014, 14, 28),
('2024-11-05', 1058529, 18, 2),
('2023-06-24', 5951431, 16, 30),
('2023-05-25', 8984381, 14, 30),
('2025-10-01', 6516915, 17, 2),
('2023-12-16', 6527038, 9, 5),
('2023-03-02', 945124, 12, 28),
